2025-02-28 09:00:01 | IP: 192.168.1.10 | EVENT: login_success | USER: admin | ATTEMPTS: 1 | SIZE_MB: 0 | PORT: 443
2025-02-28 09:01:05 | IP: 192.168.1.12 | EVENT: login_success | USER: john | ATTEMPTS: 1 | SIZE_MB: 0 | PORT: 443
2025-02-28 09:02:10 | IP: 192.168.1.15 | EVENT: file_download | USER: sarah | ATTEMPTS: 1 | SIZE_MB: 12 | PORT: 443
2025-02-28 09:03:20 | IP: 192.168.1.20 | EVENT: login_success | USER: finance | ATTEMPTS: 1 | SIZE_MB: 0 | PORT: 443
2025-02-28 09:04:33 | IP: 192.168.1.25 | EVENT: file_download | USER: john | ATTEMPTS: 1 | SIZE_MB: 8 | PORT: 443
2025-02-28 09:05:41 | IP: 192.168.1.18 | EVENT: login_success | USER: admin | ATTEMPTS: 1 | SIZE_MB: 0 | PORT: 443
2025-02-28 09:06:22 | IP: 192.168.1.14 | EVENT: file_download | USER: sarah | ATTEMPTS: 1 | SIZE_MB: 5 | PORT: 443
2025-02-28 09:07:10 | IP: 192.168.1.30 | EVENT: login_success | USER: it_support | ATTEMPTS: 1 | SIZE_MB: 0 | PORT: 443
2025-02-28 09:08:44 | IP: 192.168.1.32 | EVENT: file_download | USER: finance | ATTEMPTS: 1 | SIZE_MB: 9 | PORT: 443
2025-02-28 09:09:01 | IP: 192.168.1.34 | EVENT: login_success | USER: john | ATTEMPTS: 1 | SIZE_MB: 0 | PORT: 443
2025-02-28 09:10:15 | IP: 192.168.1.36 | EVENT: login_success | USER: admin | ATTEMPTS: 1 | SIZE_MB: 0 | PORT: 443
2025-02-28 09:11:19 | IP: 192.168.1.40 | EVENT: file_download | USER: sarah | ATTEMPTS: 1 | SIZE_MB: 11 | PORT: 443
2025-02-28 09:12:25 | IP: 192.168.1.42 | EVENT: login_success | USER: finance | ATTEMPTS: 1 | SIZE_MB: 0 | PORT: 443
2025-02-28 09:13:44 | IP: 192.168.1.45 | EVENT: file_download | USER: john | ATTEMPTS: 1 | SIZE_MB: 7 | PORT: 443
2025-02-28 09:14:33 | IP: 192.168.1.48 | EVENT: login_success | USER: admin | ATTEMPTS: 1 | SIZE_MB: 0 | PORT: 443
2025-02-28 09:15:27 | IP: 192.168.1.50 | EVENT: login_success | USER: sarah | ATTEMPTS: 1 | SIZE_MB: 0 | PORT: 443
2025-02-28 09:16:01 | IP: 192.168.1.52 | EVENT: file_download | USER: john | ATTEMPTS: 1 | SIZE_MB: 10 | PORT: 443
2025-02-28 09:17:13 | IP: 192.168.1.55 | EVENT: login_success | USER: finance | ATTEMPTS: 1 | SIZE_MB: 0 | PORT: 443
2025-02-28 09:18:40 | IP: 192.168.1.60 | EVENT: login_success | USER: it_support | ATTEMPTS: 1 | SIZE_MB: 0 | PORT: 443
2025-02-28 09:19:58 | IP: 192.168.1.62 | EVENT: file_download | USER: sarah | ATTEMPTS: 1 | SIZE_MB: 6 | PORT: 443

2025-02-28 10:00:01 | IP: 203.45.67.89 | EVENT: login_failed | USER: admin | ATTEMPTS: 45 | SIZE_MB: 0 | PORT: 22
2025-02-28 10:00:05 | IP: 203.45.67.89 | EVENT: login_failed | USER: admin | ATTEMPTS: 52 | SIZE_MB: 0 | PORT: 22
2025-02-28 10:00:10 | IP: 203.45.67.89 | EVENT: login_failed | USER: admin | ATTEMPTS: 60 | SIZE_MB: 0 | PORT: 22
2025-02-28 10:00:15 | IP: 203.45.67.89 | EVENT: login_failed | USER: admin | ATTEMPTS: 75 | SIZE_MB: 0 | PORT: 22
2025-02-28 10:00:20 | IP: 203.45.67.89 | EVENT: login_failed | USER: admin | ATTEMPTS: 80 | SIZE_MB: 0 | PORT: 22
2025-02-28 10:00:25 | IP: 203.45.67.89 | EVENT: login_failed | USER: admin | ATTEMPTS: 95 | SIZE_MB: 0 | PORT: 22
2025-02-28 10:00:30 | IP: 203.45.67.89 | EVENT: login_failed | USER: admin | ATTEMPTS: 100 | SIZE_MB: 0 | PORT: 22
2025-02-28 10:00:35 | IP: 203.45.67.89 | EVENT: login_failed | USER: admin | ATTEMPTS: 120 | SIZE_MB: 0 | PORT: 22
2025-02-28 10:00:40 | IP: 203.45.67.89 | EVENT: login_failed | USER: admin | ATTEMPTS: 130 | SIZE_MB: 0 | PORT: 22
2025-02-28 10:00:45 | IP: 203.45.67.89 | EVENT: login_failed | USER: admin | ATTEMPTS: 150 | SIZE_MB: 0 | PORT: 22
2025-02-28 10:00:50 | IP: 203.45.67.89 | EVENT: login_success | USER: admin | ATTEMPTS: 1 | SIZE_MB: 0 | PORT: 22
(repeat 9 similar failed attempts lines)

2025-02-28 11:00:01 | IP: 10.0.0.5 | EVENT: file_download | USER: john | ATTEMPTS: 1 | SIZE_MB: 48000 | PORT: 443
2025-02-28 11:00:05 | IP: 10.0.0.5 | EVENT: file_download | USER: john | ATTEMPTS: 1 | SIZE_MB: 52000 | PORT: 443
2025-02-28 11:00:10 | IP: 10.0.0.5 | EVENT: file_download | USER: john | ATTEMPTS: 1 | SIZE_MB: 61000 | PORT: 443
(repeat similar large downloads until 20 entries)

2025-02-28 12:00:01 | IP: 45.23.11.9 | EVENT: port_scan | USER: unknown | ATTEMPTS: 25 | SIZE_MB: 0 | PORT: 21
2025-02-28 12:00:02 | IP: 45.23.11.9 | EVENT: port_scan | USER: unknown | ATTEMPTS: 25 | SIZE_MB: 0 | PORT: 22
2025-02-28 12:00:03 | IP: 45.23.11.9 | EVENT: port_scan | USER: unknown | ATTEMPTS: 25 | SIZE_MB: 0 | PORT: 23
(repeat different ports until 20 entries)
